created_at entry_id	field3	latitude	longitude
2021-09-16 16:26:13	22.1	71.0	68
2021-09-16 16:27:35	22.0	70.8	68
2021-09-16 16:27:55	22.1	71.0	68
2021-09-16 16:31:20	22.1	70.6	68
2021-09-16 16:33:25	22.0	71.2	68
2021-09-16 16:35:07	22.0	71.2	68
2021-09-16 16:36:39	22.0	71.3	68
2021-09-16 16:37:05	22.1	71.2	68
2021-09-16 16:38:58	21.9	71.3	68
2021-09-16 16:40:20	21.7	71.3	68
2021-09-16 16:41:52	21.8	71.5	68
2021-09-16 16:43:24	21.9	71.7	68
2021-09-16 16:43:44	21.7	71.6	68
2021-09-16 16:46:49	22.0	72.2	68
2021-09-16 16:48:11	21.7	72.2	68
2021-09-16 16:51:25	21.5	72.2	68
2021-09-16 16:52:15	21.6	72.2	68
2021-09-16 16:53:48	21.7	72.5	68
2021-09-16 16:54:07	21.7	72.3	68
2021-09-16 16:55:42	21.7	72.1	68
2021-09-16 16:58:44	21.6	72.6	68
2021-09-16 17:00:26	21.5	72.7	68
2021-09-16 17:01:49	21.6	72.9	68
2021-09-16 17:03:41	21.6	72.9	68
2021-09-16 17:05:03	21.6	72.9	68
2021-09-16 17:06:36	21.4	73.7	68
2021-09-16 17:07:25	21.5	73.8	68
2021-09-16 17:07:45	21.5	74.0	68
2021-09-16 17:09:08	21.2	75.0	68
2021-09-16 17:10:40	21.3	75.1	68
2021-09-16 17:12:12	21.1	75.6	68
2021-09-16 17:12:32	21.1	75.6	68
2021-09-16 17:13:55	21.0	75.8	68
2021-09-16 17:15:27	21.0	75.7	68
2021-09-16 17:16:59	21.1	75.6	68
2021-09-16 17:17:19	21.1	75.5	68
2021-09-16 17:20:24	21.0	75.3	68
2021-09-16 17:21:46	20.9	75.9	68
2021-09-16 17:22:06	20.8	75.7	68
2021-09-16 17:23:28	20.8	75.8	68
2021-09-16 17:23:48	20.9	76.1	68
2021-09-16 17:25:11	20.7	76.2	68
2021-09-16 17:26:53	20.8	76.4	68
2021-09-16 17:28:15	20.8	76.4	68
2021-09-16 17:29:57	20.8	76.4	68
2021-09-16 17:31:49	20.8	76.5	68
2021-09-16 17:33:11	20.7	76.3	68
2021-09-16 17:34:54	20.7	76.4	68
2021-09-16 17:36:16	20.5	76.8	68
2021-09-16 17:37:06	20.6	76.8	68
2021-09-16 17:38:39	20.5	76.6	68
2021-09-16 17:40:21	20.5	76.3	68
2021-09-16 17:41:53	20.4	76.3	68
2021-09-16 17:43:25	20.5	76.3	68
2021-09-16 17:45:08	20.5	76.3	68
2021-09-16 17:48:12	20.3	76.7	68
2021-09-16 17:53:09	20.3	77.2	68
2021-09-16 17:54:41	20.2	77.4	68
2021-09-16 17:56:13	20.2	77.9	68
2021-09-16 17:56:32	20.1	77.8	68
2021-09-16 17:58:05	20.2	78.0	68
2021-09-16 17:59:27	20.2	77.8	68
2021-09-16 18:01:00	20.2	77.9	68
2021-09-16 18:01:19	20.2	77.9	68
2021-09-16 18:02:42	20.0	78.4	68
2021-09-16 18:08:19	19.9	78.9	68
2021-09-16 18:09:51	19.9	79.1	68
2021-09-16 18:10:10	19.8	79.0	68
2021-09-16 18:11:33	19.9	78.8	68
2021-09-16 18:13:06	19.8	79.0	68
2021-09-16 18:14:38	19.8	79.0	67
2021-09-16 18:16:21	19.8	78.9	67
2021-09-16 18:18:02	19.8	79.0	67
2021-09-16 18:19:24	19.9	78.9	67
2021-09-16 18:21:06	19.8	78.6	67
2021-09-16 18:23:39	19.9	78.7	67
2021-09-16 18:25:11	19.7	78.4	67
2021-09-16 18:26:33	19.9	78.4	67
2021-09-16 18:28:26	19.8	78.4	67
2021-09-16 18:29:48	19.8	78.1	67
2021-09-16 18:31:20	19.8	78.0	67
2021-09-16 18:34:35	19.8	78.1	67
2021-09-16 18:36:27	19.8	78.6	67
2021-09-16 18:36:56	19.9	78.8	67
2021-09-16 18:37:17	19.7	78.6	67
2021-09-16 18:38:49	19.8	78.9	67
2021-09-16 18:40:13	19.9	78.7	67
2021-09-16 18:41:44	19.9	78.6	67
2021-09-16 18:42:03	19.9	78.7	67
2021-09-16 18:49:41	19.7	79.6	67
2021-09-16 18:50:02	19.8	79.6	67
2021-09-16 18:50:46	19.7	79.8	67
2021-09-16 18:52:07	19.7	79.8	67
2021-09-16 18:52:50	19.6	80.2	67
2021-09-16 18:53:55	19.6	80.2	67
2021-09-16 18:54:43	19.7	80.3	67
2021-09-16 18:56:16	19.7	80.5	67
2021-09-16 18:59:21	19.4	81.2	67
2021-09-16 19:01:03	19.4	81.8	67
2021-09-16 19:05:39	19.3	82.5	67
2021-09-16 19:05:58	19.3	82.6	67
2021-09-16 19:07:18	19.2	82.6	67
2021-09-16 19:08:49	19.2	82.6	67
2021-09-16 19:09:09	19.2	82.5	67
2021-09-16 19:10:32	19.2	82.1	67
2021-09-16 19:12:04	19.0	82.3	67
2021-09-16 19:13:36	19.0	82.3	67
