created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status
2021-09-16 05:27:17 CST,62,17.1,80.1,72,,,,
2021-09-16 05:27:33 CST,63,17.2,80.3,72,,,,
2021-09-16 05:27:49 CST,64,17.1,80.4,72,,,,
2021-09-16 05:40:41 CST,65,17.1,80.5,72,,,,
2021-09-16 05:40:59 CST,66,17.2,80.4,72,,,,
2021-09-16 05:41:17 CST,67,17.2,80.5,72,,,,
2021-09-16 05:41:33 CST,68,17.2,80.5,72,,,,
2021-09-16 05:54:23 CST,69,17.2,80.5,72,,,,
2021-09-16 05:54:39 CST,70,17.2,80.6,72,,,,
2021-09-16 05:54:57 CST,71,17.2,80.5,72,,,,
2021-09-16 05:55:13 CST,72,17.2,80.6,72,,,,
2021-09-16 06:08:39 CST,73,17.4,80.8,72,,,,
2021-09-16 06:08:55 CST,74,17.4,81.0,72,,,,
2021-09-16 06:09:15 CST,75,17.4,80.9,72,,,,
2021-09-16 06:09:33 CST,76,17.4,81.0,72,,,,
2021-09-16 06:09:49 CST,77,17.4,80.9,72,,,,
2021-09-16 06:22:23 CST,78,17.4,81.4,72,,,,
2021-09-16 06:22:41 CST,79,17.5,81.3,72,,,,
2021-09-16 06:22:57 CST,80,17.4,81.4,72,,,,
2021-09-16 06:36:23 CST,81,17.6,81.8,72,,,,
2021-09-16 06:36:39 CST,82,17.6,82.0,72,,,,
2021-09-16 06:36:55 CST,83,17.6,82.1,72,,,,
2021-09-16 06:50:37 CST,84,17.8,82.2,72,,,,
2021-09-16 06:50:53 CST,85,17.8,82.3,72,,,,
2021-09-16 06:51:13 CST,86,17.8,82.1,72,,,,
2021-09-16 07:04:59 CST,87,17.8,82.5,72,,,,
2021-09-16 07:05:21 CST,88,18.0,82.2,72,,,,
2021-09-16 07:05:37 CST,89,17.9,82.0,72,,,,
2021-09-16 07:18:51 CST,90,18.0,81.8,72,,,,
2021-09-16 07:19:07 CST,91,18.0,81.8,72,,,,
2021-09-16 10:07:18 CST,92,18.0,81.8,72,,,,
2021-09-16 10:07:33 CST,93,20.8,71.7,72,,,,
2021-09-16 10:09:32 CST,94,20.8,72.1,72,,,,
2021-09-16 10:12:21 CST,95,20.9,72.1,72,,,,
2021-09-16 10:20:12 CST,96,21.4,71.6,,,,,
2021-09-16 10:22:10 CST,97,21.3,71.1,,,,,
2021-09-16 10:24:48 CST,98,21.3,71.1,72,,,,
2021-09-16 10:26:51 CST,99,21.5,71.1,72,,,,
2021-09-16 10:28:45 CST,100,21.4,70.9,72,,,,
2021-09-16 10:29:09 CST,101,21.4,70.6,72,,,,
2021-09-16 10:31:12 CST,102,21.5,71.0,72,,,,
2021-09-16 10:32:15 CST,103,21.6,70.4,72,,,,
2021-09-16 11:06:19 CST,104,21.7,70.1,,,,,
2021-09-16 11:06:40 CST,105,22.2,67.0,,,,,
2021-09-16 11:07:01 CST,106,22.2,66.6,,,,,
2021-09-16 11:08:27 CST,107,22.1,67.2,,,,,
2021-09-16 11:09:59 CST,108,22.1,67.6,,,,,
2021-09-16 11:10:19 CST,109,22.1,67.8,,,,,
2021-09-16 11:11:41 CST,110,22.3,67.7,,,,,
2021-09-16 11:13:14 CST,111,22.2,67.6,,,,,
2021-09-16 11:14:46 CST,112,22.3,68.0,,,,,
2021-09-16 11:16:18 CST,113,22.3,67.4,,,,,
2021-09-16 11:16:38 CST,114,22.2,67.0,,,,,
2021-09-16 11:18:00 CST,115,22.3,67.3,,,,,
